name,full_name,topics,description,created_at,stargazers_count,forks_count,license,days_since_created,avg_forks_per_day,avg_stars_per_day,categories
LLocalSearch,nilsherzig/LLocalSearch,"llm, search-engine",LLocalSearch is a completely locally running search aggregator using LLM Agents. The user can ask a question and the system will use a chain of LLMs to find the answer. The user can see the progress of the agents and the final answer. No OpenAI or Google API keys are needed.,2024-03-23,3658,184,Apache License 2.0,17,11.0,215.0,Model development
spark-nlp,JohnSnowLabs/spark-nlp,"albert, bert, entity-extraction, language-detection, language-model, lemmatizer, llm, machine-translation, named-entity-recognition, natural-language-processing, nlp, part-of-speech-tagger, pyspark, question-answering, sentiment-analysis, spark, spell-checker, tensorflow, text-classification, transformers",State of the Art Natural Language Processing,2017-09-24,3656,697,Apache License 2.0,2389,0.0,2.0,Model development
AutoGPTQ,AutoGPTQ/AutoGPTQ,"deep-learning, inference, large-language-models, llms, nlp, pytorch, quantization, transformer, transformers","An easy-to-use LLMs quantization package with user-friendly apis, based on GPTQ algorithm.",2023-04-13,3656,364,MIT License,362,1.0,10.0,Model development
llm-foundry,mosaicml/llm-foundry,"deep-learning, llm, neural-networks, nlp, pytorch",LLM training code for MosaicML foundation models,2023-04-28,3644,458,Apache License 2.0,347,1.0,11.0,Model repo
codeinterpreter-api,shroominic/codeinterpreter-api,"chatgpt, chatgpt-code-generation, code-interpreter, codeinterpreter, langchain, llm-agent",👾 Open source implementation of the ChatGPT Code Interpreter,2023-07-10,3624,389,MIT License,274,1.0,13.0,Model repo
big-AGI,enricoros/big-AGI,"agi, anthropic, beam, chatgpt, chatgpt-ui, generative-ai, gpt, gpt-4, gpt-5, groq, large-language-models, mistral, multimodal, openai, openai-api, stable-diffusion, ui","Generative AI suite powered by state-of-the-art models and providing advanced AI/AGI functions. It features AI personas, AGI functions, multi-model chats, text-to-image, voice, response streaming, code highlighting and execution, PDF import, presets for developers, much more. Deploy on-prem or in the cloud.",2023-03-19,3624,848,MIT License,387,2.0,9.0,Model development
zenml,zenml-io/zenml,"ai, automl, data-science, deep-learning, devops-tools, hacktoberfest, llm, llmops, machine-learning, metadata-tracking, ml, mlops, pipelines, production-ready, pytorch, tensorflow, workflow, zenml","ZenML 🙏: Build portable, production-ready MLOps pipelines. https://zenml.io.",2020-11-19,3623,396,Apache License 2.0,1237,0.0,3.0,Model repo
alignment-handbook,huggingface/alignment-handbook,"llm, rlhf, transformers",Robust recipes to align language models with human and AI preferences,2023-08-25,3622,281,Apache License 2.0,228,1.0,16.0,Tutorials
UFO,microsoft/UFO,"agent, automation, copilot, gui, llm, windows",A UI-Focused Agent for Windows OS Interaction.,2024-01-08,3589,417,MIT License,92,5.0,39.0,Model development
paper-qa,whitead/paper-qa,"chatgpt, nlp, question-answering",LLM Chain for answering questions from documents with citations,2023-02-05,3576,337,Apache License 2.0,429,1.0,8.0,Model development
llm-workflow-engine,llm-workflow-engine/llm-workflow-engine,"chatbot, chatgpt, gpt-3, gpt3, gpt4, llm, openai, python",Power CLI and Workflow manager for LLMs (core package),2022-12-03,3575,473,MIT License,493,1.0,7.0,Infrastructure
AgentVerse,OpenBMB/AgentVerse,"agent, ai, gpt, gpt-4, llm","🤖 AgentVerse 🪐 is designed to facilitate the deployment of multiple LLM-based agents in various applications, which primarily provides two frameworks: task-solving and simulation",2023-05-06,3573,332,Apache License 2.0,339,1.0,11.0,Applications
ChatGLM-Efficient-Tuning,hiyouga/ChatGLM-Efficient-Tuning,"alpaca, chatglm, chatglm2, chatgpt, fine-tuning, huggingface, language-model, lora, peft, pytorch, qlora, rlhf, transformers",Fine-tuning ChatGLM-6B with PEFT | 基于 PEFT 的高效 ChatGLM 微调,2023-04-08,3550,454,Apache License 2.0,367,1.0,10.0,Model development
h2o-llmstudio,h2oai/h2o-llmstudio,"ai, chatbot, chatgpt, fine-tuning, finetuning, generative, generative-ai, gpt, llama, llama2, llm, llm-training",H2O LLM Studio - a framework and no-code GUI for fine-tuning LLMs. Documentation: https://h2oai.github.io/h2o-llmstudio/,2023-04-17,3510,376,Apache License 2.0,358,1.0,10.0,Model development
web-stable-diffusion,mlc-ai/web-stable-diffusion,"deep-learning, stable-diffusion, tvm, web-assembly, webgpu, webml",Bringing stable diffusion models to web browsers. Everything runs inside the browser with no server support. ,2023-03-06,3411,207,Apache License 2.0,400,1.0,9.0,Infrastructure
awesome-machine-learning-interpretability,jphall663/awesome-machine-learning-interpretability,"ai-safety, awesome, awesome-list, data-science, explainable-ml, fairness, interpretability, interpretable-ai, interpretable-machine-learning, interpretable-ml, machine-learning, machine-learning-interpretability, privacy-enhancing-technologies, privacy-preserving-machine-learning, python, r, reliable-ai, secure-ml, transparency, xai",A curated list of awesome responsible machine learning resources.,2018-06-21,3401,574,Creative Commons Zero v1.0 Universal,2119,0.0,2.0,Lists
llama-hub,run-llama/llama-hub,no topic,A library of data loaders for LLMs made by the community -- to be used with LlamaIndex and/or LangChain,2023-02-01,3384,722,MIT License,433,2.0,8.0,Model repo
OpenAgents,xlang-ai/OpenAgents,"agent, assistant-chat-bots, code-generation, executable-langauge-grounding, gpt, hacktoberfest, language-model, language-model-agent, llm, semantic-parsing, tool-learning, ui",OpenAgents: An Open Platform for Language Agents in the Wild,2023-08-08,3348,326,Apache License 2.0,245,1.0,14.0,Model repo
Awesome-AIGC-Tutorials,luban-agi/Awesome-AIGC-Tutorials,"ai, aigc, awesome, chatgpt, courses-resource, deep-learning, llm, midjourney, multimodal, nlp, prompt-engineering, stable-diffusion, tutorials","Curated tutorials and resources for Large Language Models, AI Painting, and more. ",2023-08-22,3335,217,MIT License,231,1.0,14.0,Tutorials
open-source-alternatives,btw-so/open-source-alternatives,no topic,List of open-source alternatives to everyday SaaS products.,2023-05-22,3327,136,MIT License,323,0.0,10.0,Lists
yue,yue/yue,no topic,A library for creating native cross-platform GUI apps,2016-08-07,3317,148,GNU Lesser General Public License v2.1,2802,0.0,1.0,Applications
awesome-generative-ai-guide,aishwaryanr/awesome-generative-ai-guide,"awesome, awesome-list, generative-ai, interview-questions, large-language-models, llms, notebook-jupyter, vision-and-language","A one stop repository for generative AI research updates, interview resources, notebooks and much more!",2024-02-06,3285,645,MIT License,63,10.0,52.0,Model repo
NeMo-Guardrails,NVIDIA/NeMo-Guardrails,no topic,NeMo Guardrails is an open-source toolkit for easily adding programmable guardrails to LLM-based conversational systems.,2023-04-18,3277,281,Other,357,1.0,9.0,Model repo
higgsfield,higgsfield-ai/higgsfield,"cluster-management, deep-learning, distributed, llama, llama2, llm, machine-learning, mlops, pytorch","Fault-tolerant, highly scalable GPU orchestration, and a machine learning framework designed for training models with billions to trillions of parameters",2018-05-26,3244,555,Apache License 2.0,2145,0.0,2.0,Infrastructure
skyvern,Skyvern-AI/skyvern,"api, automation, browser, browser-automation, computer, gpt, llm, playwright, python, rpa, vision, workflow",Automate browser-based workflows with LLMs and Computer Vision,2024-02-28,3236,228,GNU Affero General Public License v3.0,41,6.0,79.0,Applications
guardrails,guardrails-ai/guardrails,"ai, foundation-model, gpt-3, llm, openai",Adding guardrails to large language models.,2023-01-29,3222,224,Apache License 2.0,436,1.0,7.0,Model development
LLM-As-Chatbot,deep-diver/LLM-As-Chatbot,no topic,LLM as a Chatbot Service,2023-02-27,3221,378,Apache License 2.0,407,1.0,8.0,Applications
YAYI,wenge-research/YAYI,"bloom, chat, chinese, llama, llama2, llm, lora, yayi",雅意大模型：为客户打造安全可靠的专属大模型，基于大规模中英文多领域指令数据训练的 LlaMA 2 & BLOOM 系列模型，由中科闻歌算法团队研发。(Repo for YaYi Chinese LLMs based on LlaMA2 & BLOOM),2023-05-24,3210,41,Apache License 2.0,321,0.0,10.0,Model repo
instagraph,yoheinakajima/instagraph,no topic,Converts text input or URL into knowledge graph and displays,2023-09-12,3139,276,MIT License,210,1.0,15.0,Model development
LMOps,microsoft/LMOps,"agi, gpt, language-model, llm, lm, lmops, nlp, pretraining, prompt, promptist, x-prompt",General technology for enabling AI capabilities w/ LLMs and MLLMs,2022-12-13,3134,223,MIT License,483,0.0,6.0,Model development
mergekit,arcee-ai/mergekit,"llama, llm, model-merging",Tools for merging pretrained large language models.,2023-08-21,3121,250,GNU Lesser General Public License v3.0,232,1.0,13.0,Model development
machine-learning,ethen8181/machine-learning,"data-science, deep-learning, jupyter-notebook, machine-learning, python, python3",:earth_americas: machine learning tutorials (mainly in Python3) ,2015-07-24,3114,645,MIT License,3182,0.0,1.0,Tutorials
InternGPT,OpenGVLab/InternGPT,"chatgpt, click, draggan, foundation-model, gpt, gpt-4, gradio, husky, image-captioning, imagebind, internimage, langchain, llama, llm, multimodal, sam, segment-anything, vicuna, video-generation, vqa","InternGPT (iGPT) is an open source demo platform where you can easily showcase your AI models. Now it supports DragGAN, ChatGPT, ImageBind, multimodal chat like GPT-4, SAM, interactive image editing, etc. Try it at igpt.opengvlab.com (支持DragGAN、ChatGPT、ImageBind、SAM的在线Demo系统)",2023-05-08,3100,223,Apache License 2.0,337,1.0,9.0,Model repo
ChatGPT-Admin-Web,AprilNEA/ChatGPT-Admin-Web,"ai-system, chatgpt, gpt-4, llm, llvm, newbing, nextjs, postgresql, prisma, prompt, user-management, webui",One-stop system for shared use of AI within teams and organizationswith | 在团队和组织内共享使用人工智能的一站式系统,2023-04-26,3091,1232,MIT License,349,4.0,9.0,Infrastructure
argilla,argilla-io/argilla,"active-learning, ai, annotation-tool, developer-tools, gpt-4, human-in-the-loop, langchain, llm, machine-learning, mlops, natural-language-processing, nlp, rlhf, text-annotation, text-labeling, weak-supervision, weakly-supervised-learning","Argilla is a collaboration platform for AI engineers and domain experts that require high-quality outputs, full data ownership, and overall efficiency.",2021-04-28,3073,305,Apache License 2.0,1077,0.0,3.0,Applications
llmware,llmware-ai/llmware,"ai, bert, embedding-vectors, embeddings, faiss, generative-ai, information-retrieval, large-language-models, machine-learning, milvus, nlp, parsing, python, pytorch, question-answering, rag, retrieval-augmented-generation, semantic-search, transformers","Providing enterprise-grade LLM-based development framework, tools, and fine-tuned models.",2023-09-29,3018,255,Apache License 2.0,193,1.0,16.0,Model development
fastllm,ztxz16/fastllm,no topic,"纯c++的全平台llm加速库，支持python调用，chatglm-6B级模型单卡可达10000+token / s，支持glm, llama, moss基座，手机端流畅运行",2023-05-13,2994,297,Apache License 2.0,332,1.0,9.0,Model repo
AlphaCodium,Codium-ai/AlphaCodium,"broader-impacts, code-generation, flow-engineering, paper-implementations, state-of-the-art","Official implementation for the paper: ""Code Generation with AlphaCodium: From Prompt Engineering to Flow Engineering""""",2024-01-14,2990,211,GNU Affero General Public License v3.0,86,2.0,35.0,Model repo
kserve,kserve/kserve,"artificial-intelligence, hacktoberfest, hacktoberfest2023, istio, k8s, knative, kserve, kubeflow, kubeflow-pipelines, kubernetes, machine-learning, mlops, mlops-community, model-interpretability, model-serving, pytorch, service-mesh, sklearn, tensorflow, xgboost",Standardized Serverless ML Inference Platform on Kubernetes,2019-03-27,2989,944,Apache License 2.0,1840,1.0,2.0,Infrastructure
autotrain-advanced,huggingface/autotrain-advanced,"autotrain, deep-learning, huggingface, machine-learning, natural-language-processing, natural-language-understanding, python",🤗 AutoTrain Advanced,2020-12-15,2985,353,Apache License 2.0,1211,0.0,2.0,Model repo
alpa,alpa-projects/alpa,"alpa, auto-parallelization, compiler, deep-learning, distributed-computing, distributed-training, high-performance-computing, jax, llm, machine-learning",Training and serving large-scale neural networks with auto parallelization.,2021-02-22,2971,342,Apache License 2.0,1142,0.0,3.0,Model development
docta,Docta-ai/docta,"data, data-centric-ai, data-centric-machine-learning, data-curation, data-diagnosis, language-model, rlhf",A Doctor for your data,2023-05-02,2950,172,Other,343,1.0,9.0,Model development
towhee,towhee-io/towhee,"computer-vision, convolutional-networks, embedding-vectors, embeddings, feature-extraction, feature-vector, image-processing, image-retrieval, llm, machine-learning, milvus, pipeline, towhee, transformer, unstructured-data, video-processing, vision-transformer, vit",Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.,2021-07-13,2945,235,Apache License 2.0,1001,0.0,3.0,Model repo
metavoice-src,metavoiceio/metavoice-src,"ai, deep-learning, pytorch, speech, speech-synthesis, text-to-speech, tts, voice-clone, zero-shot-tts","Foundational model for human-like, expressive TTS",2024-02-06,2922,366,Apache License 2.0,63,6.0,46.0,Model development
scikit-llm,iryna-kondr/scikit-llm,"chatgpt, deep-learning, llm, machine-learning, scikit-learn, transformers",Seamlessly integrate LLMs into scikit-learn.,2023-05-12,2914,225,MIT License,333,1.0,9.0,Model development
giskard,Giskard-AI/giskard,"ai-red-team, ai-safety, ai-security, ai-testing, ethical-artificial-intelligence, fairness-ai, llm, llm-eval, llm-evaluation, llm-security, llmops, ml-safety, ml-testing, ml-validation, mlops, model-monitoring, rag-evaluation, red-team-tools, responsible-ai, trustworthy-ai",🐢 Open-Source Evaluation & Testing framework for LLMs and ML models,2022-03-06,2914,186,Other,765,0.0,4.0,Model repo
LangChain-ChatGLM-Webui,X-D-Lab/LangChain-ChatGLM-Webui,"belle, bilibili, chatglm-6b, chatglm-webui, jina, langchain, langchain-serve, llama, llm, minimax, modelscope",基于LangChain和ChatGLM-6B等系列LLM的针对本地知识库的自动问答,2023-04-10,2912,446,Apache License 2.0,365,1.0,8.0,Model development
phidata,phidatahq/phidata,"ai, aws, data-engineering, developer-tools, docker, gpt-4, llm, llmops, python",Build AI Assistants with function calling and connect LLMs to external tools.,2022-05-04,2870,299,Mozilla Public License 2.0,706,0.0,4.0,Applications
LLMZoo,FreedomIntelligence/LLMZoo,no topic,"⚡LLM Zoo is a project that provides data, models, and evaluation benchmark for large language models.⚡",2023-04-01,2851,190,Apache License 2.0,374,1.0,8.0,Model repo
MNBVC,esbatmop/MNBVC,"chinese, chinese-language, chinese-nlp, chinese-simplified, corpus-data, nlp, nlp-machine-learning",MNBVC(Massive Never-ending BT Vast Chinese corpus)超大规模中文语料集。对标chatGPT训练的40T数据。MNBVC数据集不但包括主流文化，也包括各个小众文化甚至火星文的数据。MNBVC数据集包括新闻、作文、小说、书籍、杂志、论文、台词、帖子、wiki、古诗、歌词、商品介绍、笑话、糗事、聊天记录等一切形式的纯文本中文数据。,2022-12-31,2850,195,MIT License,465,0.0,6.0,Model repo
databerry,gmpetrov/databerry,"ai, aichatbot, chatbot, chatbots, chatgpt, llm, no-code, openai, qdrant, semantic-search, typescript",The no-code platform for building custom LLM Agents,2023-03-27,2848,372,GNU Affero General Public License v3.0,379,1.0,8.0,Model development
langchain4j,langchain4j/langchain4j,"azure-openai, chatgpt, chroma, embeddings, gemini, gpt, huggingface, java, langchain, langchain-java, llama, llama2, localai, milvus, ollama, onnx, openai, pinecone, vector-database, weaviate",Java version of LangChain,2023-06-20,2837,532,Apache License 2.0,294,2.0,10.0,Model repo
AutoGPT-Next-Web,ConnectAI-E/AutoGPT-Next-Web,"auto-gpt, connect-ai, docker, docker-compose, langchangjs, llm, nextjs, openai, react, vercel","🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.一键免费部署你的私人AutoGPT 网页应用",2023-04-15,2836,1410,GNU General Public License v3.0,360,4.0,8.0,Applications
NExT-GPT,NExT-GPT/NExT-GPT,"chatgpt, foundation-models, gpt-4, instruction-tuning, large-language-models, llm, multi-modal-chatgpt, multimodal, visual-language-learning",Code and models for NExT-GPT: Any-to-Any Multimodal Large Language Model,2023-08-30,2813,290,"BSD 3-Clause ""New"" or ""Revised"" License",223,1.0,13.0,Model repo
llm-attacks,llm-attacks/llm-attacks,no topic,Universal and Transferable Attacks on Aligned Language Models,2023-07-27,2791,368,MIT License,257,1.0,11.0,Model development
ragflow,infiniflow/ragflow,"data-pipelines, deep-learning, document-parser, document-understanding, information-retrieval, llm, llmops, machine-learning, nlp, ocr, orchestration, pdf-to-text, preprocessing, rag, retrieval-augmented-generation, table-structure-recognition",RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,2023-12-12,2778,174,Apache License 2.0,119,1.0,23.0,Model repo
pyllama,juncongmoo/pyllama,no topic,LLaMA: Open and Efficient Foundation Language Models,2023-02-28,2775,310,GNU General Public License v3.0,406,1.0,7.0,Model repo
exllamav2,turboderp/exllamav2,no topic,A fast inference library for running LLMs locally on modern consumer-class GPUs,2023-08-30,2774,204,MIT License,223,1.0,12.0,Model development
llm,simonw/llm,"ai, llms, openai",Access large language models from the command-line,2023-04-01,2766,124,Apache License 2.0,374,0.0,7.0,Applications
awesome-ai-in-finance,georgezouq/awesome-ai-in-finance,"analysis, awesome, awesome-list, cryptocurrency, deep-learning, financial, neural-network, quant, quantitative-finance, reinforcement-learning, stock-market, technology-analysis",🔬 A curated list of awesome LLMs & deep learning strategies & tools in financial market.,2018-08-29,2761,353,Creative Commons Zero v1.0 Universal,2050,0.0,1.0,Lists
Anima,lyogavin/Anima,"chinese-llm, chinese-nlp, finetune, generative-ai, instruct-gpt, instruction-set, llama, llm, lora, open-models, open-source, open-source-models, qlora","33B Chinese LLM, DPO QLORA, 100K context, AirLLM 70B inference with single 4GB GPU",2023-06-12,2760,213,Apache License 2.0,302,1.0,9.0,Model development
EmbedAI,SamurAIGPT/EmbedAI,"chatbot, chatgpt, embedai, embeddings, generative, gpt, gpt4, gpt4all, langchain, models, openai, privategpt, vectorstore, whisper","An app to interact privately with your documents using the power of GPT, 100% privately, no data leaks",2023-05-25,2735,296,MIT License,320,1.0,9.0,Applications
genai-stack,docker/genai-stack,no topic,Langchain + Docker + Neo4j + Ollama,2023-09-13,2729,546,Creative Commons Zero v1.0 Universal,209,3.0,13.0,Infrastructure
langfuse,langfuse/langfuse,"analytics, evaluation, generative-ai, gpt, langchain, large-language-models, llama-index, llm, llm-agent, llm-framework, llmops, monitoring, observability, open-source, openai, prompt-engineering, prompt-management, self-hosted, ycombinator","🪢 Open source LLM engineering platform. Observability, metrics, evals, prompt management, testing -- 🍊YC W23 🤖 integrate via Typescript, Python, OpenAI, Langchain, LlamaIndex, Litellm",2023-05-18,2726,240,Other,327,1.0,8.0,Model development
stable-diffusion-webui-chinese,VinsonLaro/stable-diffusion-webui-chinese,no topic,stable-diffusion-webui 的汉化扩展,2022-10-10,2703,290,GNU General Public License v3.0,547,1.0,5.0,Infrastructure
awesome-RLHF,opendilab/awesome-RLHF,"deep-learning, deep-reinforcement-learning, human-feedback, large-language-models, reinforcement-learning, rlhf",A curated list of reinforcement learning with human feedback resources (continually updated),2023-02-13,2647,176,Apache License 2.0,421,0.0,6.0,Lists
ADeus,adamcohenhillel/ADeus,"ai, open, open-source-ai, wear, wearable, wearable-devices","An open source AI wearable device that captures what you say and hear in the real world and then transcribes and stores it on your own server. You can then chat with Adeus using the app, and it will have all the right context about what you want to talk about - a truly personalized, personal AI.",2024-01-22,2645,270,Other,78,3.0,34.0,Applications
BigDL-2.x,intel-analytics/BigDL-2.x,"analytics-zoo, apache-spark, bigdl, deep-neural-network, distributed-deep-learning, keras-tensorflow, python, pytorch, scala","BigDL: Distributed TensorFlow, Keras and PyTorch on Apache Spark/Flink & Ray",2017-05-05,2626,728,Apache License 2.0,2531,0.0,1.0,Model repo
sqlcoder,defog-ai/sqlcoder,no topic,SoTA LLM for converting natural language questions to SQL queries,2023-08-17,2622,160,Apache License 2.0,236,1.0,11.0,Model development
algernon,xyproto/algernon,"algernon, cross-platform, go, gopher, http2, http3, live-reload, lua, mysql, ollama, pongo2, postgresql, quic, redis, server-sent-events, tls13","Small self-contained pure-Go web server with Lua, Teal, Markdown, Ollama, HTTP/2, QUIC, Redis and PostgreSQL support",2015-03-10,2615,133,"BSD 3-Clause ""New"" or ""Revised"" License",3318,0.0,1.0,Infrastructure
Eureka,eureka-research/Eureka,no topic,"Official Repository for ""Eureka: Human-Level Reward Design via Coding Large Language Models""",2023-09-25,2571,223,MIT License,197,1.0,13.0,Model repo
evadb,georgia-tech-db/evadb,"agent, ai, auto-gpt, chatgpt, data-analysis, database, eva, gpt-4, gpt4all, hacktoberfest, huggingface, labeling, langchain, llm, object-detection, serving, video-analytics",Database system for AI-powered apps,2018-09-10,2561,260,Apache License 2.0,2038,0.0,1.0,Infrastructure
aichat,sigoden/aichat,"ai, all-in-one, azure-openai, chat, chatbot, chatgpt, chatgpt-cli, claude, ernie, gemini, llama, llm, localai, mistral, ollama, openai, qianwen, repl, vertexai","All-in-one CLI tool for 10+ AI platforms, including OpenAI(ChatGPT), Gemini, Claude, Mistral, LocalAI, Ollama, VertexAI, Ernie, Qianwen...",2023-03-03,2559,173,Apache License 2.0,403,0.0,6.0,Model repo
FreedomGPT,ohmplatform/FreedomGPT,"electron, gpt, llm, react",This codebase is for a React and Electron-based app that executes the FreedomGPT LLM locally (offline and private) on Mac and Windows using a chat-based interface,2023-03-21,2539,336,GNU General Public License v3.0,385,1.0,7.0,Model repo
incubator-hugegraph,apache/incubator-hugegraph,"big-data, database, graph, graph-database, graphdb, gremlin","A graph database that supports more than 100+ billion data, high performance and scalability (Include OLTP Engine & REST-API & Backends)",2018-07-18,2532,498,Apache License 2.0,2092,0.0,1.0,Infrastructure
chatglm.cpp,li-plus/chatglm.cpp,"baichuan, baichuan2, chatglm, chatglm2, chatglm3, codegeex2-6b, internlm, large-language-models, nlp",C++ implementation of ChatGLM-6B & ChatGLM2-6B & ChatGLM3 & more LLMs,2023-05-23,2528,298,MIT License,322,1.0,8.0,Model repo
xTuring,stochasticai/xTuring,"adapter, alpaca, deep-learning, fine-tuning, finetuning, gen-ai, generative-ai, gpt-2, gpt-j, language-model, llama, llm, lora, mistral, mixed-precision, peft, quantization","Build, customize and control you own LLMs. From data pre-processing to fine-tuning, xTuring provides an easy way to personalize open-source LLMs. Join our discord community: https://discord.gg/TgHXuSJEk6",2023-03-19,2508,195,Apache License 2.0,387,1.0,6.0,Model development
ComfyUI-Workflows-ZHO,ZHO-ZHO-ZHO/ComfyUI-Workflows-ZHO,"comfyui, stable-diffusion",我的 ComfyUI 工作流合集 | My ComfyUI workflows collection,2024-03-06,2492,253,GNU General Public License v3.0,34,7.0,73.0,Model repo
MedicalGPT,shibing624/MedicalGPT,"chatgpt, dpo, gpt, llama, llm, medical, medicalgpt",MedicalGPT: Training Your Own Medical GPT Model with ChatGPT Training Pipeline. 训练医疗大模型，实现了包括增量预训练、有监督微调、RLHF(奖励建模、强化学习训练)和DPO(直接偏好优化)。,2023-06-02,2450,376,Apache License 2.0,312,1.0,8.0,Model development
Alpaca-CoT,PhoebusSi/Alpaca-CoT,"alpaca, chatglm, chatgpt, cot, instruction-tuning, llama, llm, lora, moss, p-tuning, parameter-efficient, pytorch, tabul, tabular-data, tabular-model","We unified the interfaces of instruction-tuning data (e.g., CoT data), multiple LLMs and parameter-efficient methods (e.g., lora, p-tuning) together for easy use. We welcome open-source enthusiasts to initiate any meaningful PR on this repo and integrate as many LLM related technologies as possible. 我们打造了方便研究人员上手和使用大模型等微调平台，我们欢迎开源爱好者发起任何有意义的pr！",2023-03-24,2449,231,Apache License 2.0,382,1.0,6.0,Model repo
llm-app,pathwaycom/llm-app,"chatbot, hugging-face, llm, llm-local, llm-prompting, llm-security, llmops, machine-learning, open-ai, pathway, rag, real-time, retrieval-augmented-generation, vector-database, vector-index","LLM App templates for RAG, knowledge mining, and stream analytics. Ready to run with Docker,⚡in sync with your data sources.",2023-07-19,2424,149,MIT License,265,1.0,9.0,Applications
prompt-engine,microsoft/prompt-engine,no topic,A library for helping developers craft prompts for Large Language Models,2022-06-17,2424,96,MIT License,662,0.0,4.0,Model development
LLaMA2-Accessory,Alpha-VLLM/LLaMA2-Accessory,no topic,An Open-source Toolkit for LLM Development,2023-07-21,2423,155,Other,263,1.0,9.0,Model development
vimGPT,ishan0102/vimGPT,no topic,Browse the web with GPT-4V and Vimium,2023-11-07,2416,177,MIT License,154,1.0,16.0,Applications
YiVal,YiVal/YiVal,"ai, ai-experiments, ai-toolkit, aigc, api, auto-prompting, autogpt, fine-tuning, framework, generative-ai, gpt4, llm, midjourney, prompt, prompt-engineering, prompt-tuning, promptengineering, python, stable-diffusion",Your Automatic Prompt Engineering Assistant for GenAI Applications,2023-07-15,2415,418,Apache License 2.0,269,2.0,9.0,Applications
AGiXT,Josh-XT/AGiXT,"agent-llm, agi, agixt, ai, artificial, automation, chromadb, intelligence, llama, llamacpp, llm, llmops, openai, python","AGiXT is a dynamic AI Agent Automation Platform that seamlessly orchestrates instruction management and complex task execution across diverse AI providers. Combining adaptive memory, smart features, and a versatile plugin system, AGiXT delivers efficient and comprehensive AI solutions.",2023-04-17,2411,320,MIT License,358,1.0,7.0,Applications
LongLoRA,dvlab-research/LongLoRA,"fine-tuning-llm, large-language-models, llm, long-context, lora",Code and documents of LongLoRA and LongAlpaca (ICLR 2024 Oral),2023-09-21,2402,238,Apache License 2.0,201,1.0,12.0,Model repo
gptscript,gptscript-ai/gptscript,no topic,Natural Language Programming,2024-01-29,2398,211,Apache License 2.0,71,3.0,34.0,Model development
ColBERT,stanford-futuredata/ColBERT,no topic,"ColBERT: state-of-the-art neural search (SIGIR'20, TACL'21, NeurIPS'21, NAACL'22, CIKM'22, ACL'23, EMNLP'23)",2020-05-25,2395,321,MIT License,1415,0.0,2.0,Model repo
StableSwarmUI,Stability-AI/StableSwarmUI,"ai, image-generation, stable-diffusion, stablediffusion, ui","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility.",2023-05-12,2379,196,MIT License,333,1.0,7.0,Model development
examples,pinecone-io/examples,"ai, jupyter-notebook, llm, python, semantic-search, vector-database",Jupyter Notebooks to help you get hands-on with Pinecone vector databases,2021-03-09,2378,913,MIT License,1127,1.0,2.0,Tutorials
Auto-GPT-ZH,kaqijiang/Auto-GPT-ZH,"auto-gpt, autogpt, chat-gpt, chatbot, chatgpt, chinese, chinese-simplified, chinese-translation, gpt-3-5-turbo-api, gpt-35-turbo, gpt4-api",Auto-GPT中文版本及爱好者组织 同步更新原项目 AI领域创业 自媒体组织 用AI工作学习创作变现,2023-04-18,2374,400,MIT License,357,1.0,7.0,Model repo
Free-Auto-GPT,IntelligenzaArtificiale/Free-Auto-GPT,"ai, auto-gpt, autogpt, autogpt-no-paid-api, chatgpt, chatgpt-api, chatgpt-free, democratize-ai, free-autogpt, gpt-4, gpt-4-api, gpt4, open-source-auto-gpt, open-source-gpt, openai, python, reverse-engineering","Free Auto GPT with NO paids API is a repository that offers a simple version of Auto GPT, an autonomous AI agent capable of performing tasks independently. Unlike other versions, our implementation does not rely on any paid OpenAI API, making it accessible to anyone. ",2023-04-19,2369,377,MIT License,356,1.0,7.0,Model repo
lida,microsoft/lida,"cohere, datavisualization, hacktoberfest, llm, openai, openai-api, palm2, visualization",Automatic Generation of Visualizations and Infographics using Large Language Models,2023-03-09,2348,218,MIT License,397,1.0,6.0,Model development
OpenPipe,OpenPipe/OpenPipe,"ai, llm, llmops, prompt-engineering",Turn expensive prompts into cheap fine-tuned models,2023-06-20,2345,118,Apache License 2.0,294,0.0,8.0,Model development
willow,toverainc/willow,"alexa, deep-learning, echo, esp-adf, esp-idf, esp32, google-home, home-assistant, home-automation, privacy, speech-recognition, speech-to-text, whisper","Open source, local, and self-hosted Amazon Echo/Google Home competitive Voice Assistant alternative",2023-03-31,2343,93,Apache License 2.0,375,0.0,6.0,Applications
chain-of-thought-hub,FranxYao/chain-of-thought-hub,no topic,Benchmarking large language models' complex reasoning ability with chain-of-thought prompting,2023-03-10,2337,118,MIT License,396,0.0,6.0,Model development
opencompass,open-compass/opencompass,"benchmark, chatgpt, evaluation, large-language-model, llama2, llm, openai","OpenCompass is an LLM evaluation platform, supporting a wide range of models (InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",2023-06-15,2313,237,Apache License 2.0,299,1.0,8.0,Model repo
